method,eto_bin,eto_min,eto_max,n,mean_ref_eto,mean_bias,median_bias
et_thornthwaite,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,4.396703573715615,4.452186171243237
et_thornthwaite,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,4.265583773654118,4.29006538753865
et_thornthwaite,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,4.174480682578718,4.155372285098644
et_thornthwaite,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,3.8695456225106866,3.894380426878447
et_thornthwaite_camargo,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,4.628793816677347,4.613416476176317
et_thornthwaite_camargo,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,4.28380308200518,4.279199815957047
et_thornthwaite_camargo,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,3.95924424345112,3.9750248971491837
et_thornthwaite_camargo,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,3.2805724798657248,3.4022765383327145
et_camargo,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,1.4249556723039543,1.4143587783435483
et_camargo,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,1.1711312695252707,1.1735172667998102
et_camargo,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,0.927132422000589,0.9315792023600312
et_camargo,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,0.37139227692977567,0.5072964730177506
et_hargreaves_samani,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,1.3394244206476087,1.3524408546513509
et_hargreaves_samani,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,1.2915923110957996,1.3251416657980233
et_hargreaves_samani,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,1.1028183827529172,1.1005111196694402
et_hargreaves_samani,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,0.5651641256617126,0.6678615135793932
et_hargreaves_samani_corr,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,1.7334840842583394,1.7746523123354923
et_hargreaves_samani_corr,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,1.752875973487126,1.790940884069906
et_hargreaves_samani_corr,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,1.5948196614838746,1.5757192327931575
et_hargreaves_samani_corr,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,1.0890667523032964,1.1416645287712945
et_priestley_taylor,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.3384752115166774,-0.3535474097976179
et_priestley_taylor,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.653941982173836,-0.6545348397011783
et_priestley_taylor,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.9535169255353803,-0.9492413286679044
et_priestley_taylor,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.6163535085151661,-1.5148810208279193
et_garcia_lopez,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.3832817037778661,-0.40209257937315657
et_garcia_lopez,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.7031082310134931,-0.7048850184004627
et_garcia_lopez,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.9952488688496949,-0.9829002962406727
et_garcia_lopez,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.6087362697691887,-1.5090891619414755
et_makkink,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.4551178136484323,-0.4686843671308569
et_makkink,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.769036053411774,-0.767854564739997
et_makkink,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-1.067300592332579,-1.0638366174490366
et_makkink,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.7293066206360184,-1.6273698161462886
et_mccloud,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,94.26163477312777,93.60259138008385
et_mccloud,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,102.5554777443451,102.68893128711346
et_mccloud,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,110.19206730767101,109.3547709031494
et_mccloud,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,122.14356578812249,120.93641635094501
et_turc,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,0.08550554612682686,0.07503646749988124
et_turc,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.21922671426541568,-0.21535711984256645
et_turc,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.509847209473813,-0.5056038783655448
et_turc,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.1614213578605386,-1.058529881516337
et_global_radiation,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.325212197362934,-0.33762199888217875
et_global_radiation,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.6361973804896802,-0.6337868928656725
et_global_radiation,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.9328567090483509,-0.9315505379665933
et_global_radiation,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.595982649189223,-1.4934649302265397
et_ivanov,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,1.9447801601566612,1.7405814543944538
et_ivanov,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,2.984298102106568,2.8717796777871407
et_ivanov,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,3.915001848662397,3.583959647257991
et_ivanov,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,5.729593614866777,5.747220201352221
et_jensen_heise,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.31503576742818834,-0.32273011177823274
et_jensen_heise,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.6152027756175117,-0.6095746538935005
et_jensen_heise,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.8990650628264462,-0.8985160392020317
et_jensen_heise,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.544968478910151,-1.4380009293761997
et_net_radiation,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.3354450848270349,-0.3499222763770003
et_net_radiation,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.650933372915411,-0.6513027459486979
et_net_radiation,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.95128722828449,-0.9480643079801987
et_net_radiation,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.6164717874303247,-1.5148626881487204
et_radiation_temperature,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.34126214388393367,-0.35605210840872364
et_radiation_temperature,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.6567743327211224,-0.6567173258901795
et_radiation_temperature,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.9555792454556794,-0.9511098860213337
et_radiation_temperature,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.6158639564177297,-1.5141434676415058
et_lungeon,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.08281510397377385,-0.07746585522710522
et_lungeon,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.23676987151980655,-0.24269679378130526
et_lungeon,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.38629654845298805,-0.4146143428818012
et_lungeon,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-0.7154896639375713,-0.6801412749273015
et_stephens_stewart,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.3336394845435388,-0.34651822609306304
et_stephens_stewart,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.6445901108615874,-0.6423748449139086
et_stephens_stewart,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.9389059052368524,-0.9331437687297006
et_stephens_stewart,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.5947677443207795,-1.4914718286959276
et_hicks_hess,1,0.0776648224968299,0.5944249400105438,92,0.40248665245203474,-0.33847894330032186,-0.3527596914812924
et_hicks_hess,2,0.598729678855131,0.8981527620660823,91,0.7474773871242023,-0.6429051647164469,-0.6485992654910133
et_hicks_hess,3,0.899149832952651,1.275114685797011,91,1.0720362256782627,-0.9280370495954925,-0.9221650762400243
et_hicks_hess,4,1.277690323905318,3.074384867384464,92,1.7507079892636583,-1.5661988258560167,-1.472687145093309
