method,eto_column,variable,column,perturbation_pct,baseline_mean_eto_mm_d,perturbed_mean_eto_mm_d,delta_mean_eto_mm_d,relative_delta_pct,n,status
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,-50,1.2692842160084103,-1.2746997346278317,-2.543983950636242,-200.4266592581173,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,-40,1.2692842160084103,-0.7145431260971071,-1.9838273421055175,-156.2949666501149,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,-30,1.2692842160084103,-0.1766703651114991,-1.4459545811199095,-113.91889719286705,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,-20,1.2692842160084103,0.3349008060374979,-0.9343834099709125,-73.61498694983545,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,-10,1.2692842160084103,0.817412128698588,-0.4518720873098223,-35.600544118546594,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,10,1.2692842160084103,1.6899706393882226,0.4206864233798122,33.14359526999938,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,20,1.2692842160084103,2.079776886758639,0.8104926707502285,63.85430942322992,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,30,1.2692842160084103,2.4396696963345588,1.1703854803261484,92.20830650575058,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,40,1.2692842160084103,2.7710954537778107,1.5018112377694004,118.31953937725869,366,ok
penman_monteith,et_penman_monteith,temperatura_media,tmed_c,50,1.2692842160084103,3.0758193396671776,1.8065351236587672,142.32707701509756,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,-50,1.2692842160084103,1.9914886221958172,0.7222044061874069,56.89855724028176,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,-40,1.2692842160084103,1.8928694570712696,0.6235852410628593,49.12888958974712,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,-30,1.2692842160084103,1.7747249049702287,0.5054406889618184,39.820922893952485,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,-20,1.2692842160084103,1.633872999521143,0.3645887835127326,28.723967328552746,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,-10,1.2692842160084103,1.4667314913855876,0.1974472753771772,15.555796951300694,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,10,1.2692842160084103,1.0370464821599252,-0.23223773384848512,-18.29674795601069,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,20,1.2692842160084103,0.7650296104826314,-0.5042546055257789,-39.72747783089408,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,30,1.2692842160084103,0.4477047591483808,-0.8215794568600295,-64.7277770020411,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,40,1.2692842160084103,0.07896618031567718,-1.1903180356927332,-93.77868413395964,366,ok
penman_monteith,et_penman_monteith,temperatura_maxima,tmax_c,50,1.2692842160084103,-0.3479059436750533,-1.6171901596834637,-127.40961711232278,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,-50,1.2692842160084103,1.84180742069637,0.5725232046879596,45.10598945982371,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,-40,1.2692842160084103,1.7570089224903434,0.487724706481933,38.4251769879963,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,-30,1.2692842160084103,1.6591228687346655,0.3898386527262552,30.71326719497094,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,-20,1.2692842160084103,1.546469439485067,0.27718522347665675,21.83791620353846,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,-10,1.2692842160084103,1.4171997697036196,0.14791555369520926,11.653461992962272,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,10,1.2692842160084103,1.100500283807883,-0.16878393220052734,-13.297568036519962,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,20,1.2692842160084103,0.9084202382667438,-0.36086397774166656,-28.430510140313245,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,30,1.2692842160084103,0.690398424270089,-0.5788857917383213,-45.60726308870177,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,40,1.2692842160084103,0.44355832212770613,-0.8257258938807042,-65.05445222327045,366,ok
penman_monteith,et_penman_monteith,temperatura_minima,tmin_c,50,1.2692842160084103,0.1647793671839293,-1.104504848824481,-87.01792986112123,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",-50,1.2692842160084103,2.365667249031665,1.0963830330232545,86.37805616705074,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",-40,1.2692842160084103,2.146390642427014,0.8771064264186037,69.10244493364061,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",-30,1.2692842160084103,1.927114035822363,0.6578298198139527,51.82683370023045,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",-20,1.2692842160084103,1.7078374292177123,0.43855321320930196,34.55122246682031,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",-10,1.2692842160084103,1.488560822613061,0.21927660660465076,17.27561123341014,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",10,1.2692842160084103,1.0500076094037594,-0.21927660660465098,-17.275611233410157,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",20,1.2692842160084103,0.8307310027991088,-0.4385532132093015,-34.55122246682028,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",30,1.2692842160084103,0.6114543961944578,-0.6578298198139525,-51.82683370023044,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",40,1.2692842160084103,0.3921777895898073,-0.877106426418603,-69.10244493364056,366,ok
penman_monteith,et_penman_monteith,umidade_relativa,"rh_min_pct,rh_max_pct",50,1.2692842160084103,0.1729011829851564,-1.096383033023254,-86.37805616705072,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,-50,1.2692842160084103,0.7077279676128164,-0.5615562483955939,-44.24196262059821,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,-40,1.2692842160084103,0.8248723154394693,-0.4444119005689411,-35.01279657967451,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,-30,1.2692842160084103,0.9395197181936817,-0.3297644978147286,-25.980351260630783,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,-20,1.2692842160084103,1.0517523990142064,-0.21753181699420399,-17.138148749559697,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,-10,1.2692842160084103,1.1616488844373134,-0.10763533157109695,-8.480002367758408,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,10,1.2692842160084103,1.3747301471528568,0.10544593114444645,8.307511415847289,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,20,1.2692842160084103,1.4780553265162242,0.20877111050781383,16.447940333201977,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,30,1.2692842160084103,1.5793254688698888,0.31004125286147843,24.426464061491494,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,40,1.2692842160084103,1.6786035145756781,0.4093192985672678,32.24804132950438,366,ok
penman_monteith,et_penman_monteith,velocidade_vento,wind_mean_ms,50,1.2692842160084103,1.7759497785119274,0.506665562503517,39.91742401846427,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,-50,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,-40,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,-30,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,-20,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,-10,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,10,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,20,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,30,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,40,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_global,rad_global_mj_m2_d,50,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,-50,1.2692842160084103,1.2326214271197418,-0.036662788888668585,-2.888461735068614,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,-40,1.2692842160084103,1.2399539848974754,-0.029330231110934912,-2.310769388054895,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,-30,1.2692842160084103,1.247286542675209,-0.02199767333320124,-1.7330770410411755,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,-20,1.2692842160084103,1.254619100452943,-0.014665115555467345,-1.1553846940274386,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,-10,1.2692842160084103,1.2619516582306767,-0.0073325577777336726,-0.5776923470137193,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,0,1.2692842160084103,1.2692842160084103,0.0,0.0,366,ok
penman_monteith,et_penman_monteith,radiacao_liquida,rad_net_mj_m2_d,10,1.2692842160084103,1.2766167737861442,0.007332557777733895,0.5776923470137368,366,ok
