site,biome,climate_class,region,country,state,scale,rank,selection_rule,method,rmse,mae,mbe,r,r2,willmott_d,c,classification,rank_rmse,rank_mae,rank_mbe,rank_r,rank_r2,rank_willmott_d,rank_c
manaus,Amazonia,Af,North,Brazil,AM,monthly,11,composite,et_global_radiation,37.53847586493384,35.03518544058078,-35.03518544058078,0.6220723587706104,0.386974019546431,0.3659032629238067,0.2276183058488752,Very Poor,7,7,7,15,15,9,11
manaus,Amazonia,Af,North,Brazil,AM,monthly,12,composite,et_makkink,41.33735044663216,39.08017166442631,-39.08017166442631,0.6543721603241555,0.4282029242073022,0.3464200635028736,0.2266876453340065,Very Poor,13,13,13,13,13,13,12
manaus,Amazonia,Af,North,Brazil,AM,monthly,13,composite,et_net_radiation,38.01187570801662,35.52223368442319,-35.52223368442319,0.6220723587706105,0.3869740195464312,0.3628245342345518,0.2257031138311358,Very Poor,9,9,9,14,14,12,13
manaus,Amazonia,Af,North,Brazil,AM,monthly,14,composite,et_mccloud,3273.8507188440335,3264.0347228426895,3264.0347228426895,0.941909747910142,0.8871939732081473,0.0077613889137918,0.0073105278752222,Very Poor,14,14,14,4,4,14,14
manaus,Amazonia,Af,North,Brazil,AM,monthly,15,composite,et_ivanov,4468.4163492546395,4205.157652974243,4205.157652974243,0.977627794333991,0.9557561042543444,0.0073983885447038,0.0072328702745847,Very Poor,15,15,15,2,2,15,15
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,1,composite,et_stephens_stewart,0.4975153200318666,0.3441580373026199,-0.2170228479414802,0.945131244484776,0.8932730693013413,0.9628277452908964,0.9099985851312558,Excellent,1,1,4,2,2,1,1
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,2,composite,et_makkink,0.514742760055954,0.3555736115785893,-0.1554683289134961,0.9353740608057712,0.8749246336282784,0.95814160781234,0.8962208065263991,Excellent,2,2,2,5,5,2,2
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,3,composite,et_turc,0.6576435229453939,0.5699098145652232,0.5027596581590416,0.9502695011669292,0.9030121248480444,0.938767388046525,0.8920820175507524,Excellent,5,6,7,1,1,6,3
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,4,composite,et_jensen_heise,0.7318863335529724,0.5982148599157201,0.4707350185967154,0.9425232317698612,0.8883500424259033,0.9394784678214284,0.8854802816692502,Excellent,7,7,5,4,4,5,4
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,5,composite,et_priestley_taylor,0.5812724968069801,0.4404955525927719,-0.051725945951042,0.923833162836808,0.8534677127570603,0.9579049828688824,0.8849443900208981,Excellent,3,3,1,6,6,3,5
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,6,composite,et_radiation_temperature,0.6947713407423456,0.5498563139276159,-0.485060302079096,0.9434415121862292,0.8900818869162388,0.92164472353031,0.8695178916658948,Excellent,6,5,6,3,3,7,6
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,7,composite,et_net_radiation,0.6525718417123051,0.5123134053897097,0.1967667978079399,0.9161938646009778,0.839411197532475,0.948158431235296,0.8686969373674663,Excellent,4,4,3,7,7,4,7
piracicaba,Mata Atlantica,Cwa,Southeast,Brazil,SP,daily,8,composite,et_global_radiation,0.7929298729351294,0.6826830110657303,0.5676803216523638,0.914400513978928,0.8361282999649279,0.9131700843712112,0.8350031944992166,Very Good,8,8,8,8,8,8,8
