date,tmed_c,tmax_c,tmin_c,rh_mean_pct,rh_max_pct,rh_min_pct,wind_mean_ms,wind_max_ms,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,ra_extraterrestre_mj_m2_d,et_camargo,et_garcia_lopez,et_hargreaves_samani,et_hargreaves_samani_corr,et_penman_monteith,et_priestley_taylor,et_thornthwaite,et_thornthwaite_camargo
2024-01-01,28.3,33.3,24.1,78.4,82.3958333333333,57,1.0,2.88749999999999,0.0,0.510083333333333,0.2346383333333332,16.7,4.726100000000001,37.6188862926873,5.3708020526630085,2.68808118086978,2.2465757952622036,0.1908965014285713,5.031280469129382,5.031280469129382
2024-01-02,28.7,32.3,26.1,79.7,82.0416666666666,66,1.5,3.8,0.0,0.597391666666666,0.27480016666666635,16.7,3.989537952686987,37.61785721301389,4.447265985096347,2.225852281212325,2.10236458731888,0.2247387449999997,5.031280469129382,5.031280469129382
2024-01-03,29.1,34.1,26.1,76.0,79.3958333333333,55,1.8,4.69583333333333,0.0,0.615335416666666,0.2830542916666664,16.7,3.8954842532741347,37.62078613208436,5.095210646904405,2.5501479515000938,2.8251923814179976,0.23269172496428542,5.031280469129382,5.031280469129382
2024-01-04,29.4,34.9,26.8,72.0,74.1875,49,1.6,5.1125,0.0,0.693670833333333,0.3190885833333332,16.7,3.9474053063814942,37.62395253107946,5.159751847701824,2.582450759451889,3.0471560593820195,0.2633313217499998,5.031280469129382,5.031280469129382
2024-01-05,26.1,28.7,23.7,84.2,86.0416666666666,74,1.6,4.22916666666666,3.8,0.3202375,0.14730925,16.7,3.456436119509414,37.61429501414441,3.770455587592169,1.8871093384062498,1.6794104137144765,0.11640541628571428,5.031280469129382,5.031280469129382
2024-01-06,27.0,31.0,24.9,79.9,82.25,64,2.3,5.33958333333333,0.2,0.561241666666666,0.25817116666666634,16.7,3.7776162175642107,37.61769889306414,4.249983448194404,2.1271125642090856,2.30745932374661,0.20647760207142826,5.031280469129382,5.031280469129382
2024-01-07,28.5,35.2,25.0,75.6,78.9375,49,1.6,4.30416666666666,0.0,0.744079166666666,0.34227641666666636,16.7,4.180876996762582,37.62110277198387,5.679699830609695,2.842684216984148,3.1459036197754404,0.2791955108571425,5.031280469129382,5.031280469129382
2024-01-08,29.3,34.1,26.2,70.3,73.625,51,1.8,4.90833333333333,0.0,0.7410416666666659,0.34087916666666634,16.7,4.510096714970075,37.62529825065238,5.0848571879194315,2.5449660553919298,2.9049790725804026,0.28095218571428543,5.031280469129382,5.031280469129382
2024-01-09,27.8,30.8,25.6,78.0,81.875,64,1.5,4.04583333333333,2.6,0.386558333333333,0.1778168333333332,16.7,4.530975565268553,37.619202932586816,3.994025392718879,1.9990058074771686,1.78214233701242,0.14372349278571417,5.031280469129382,5.031280469129382
2024-01-10,27.6,32.7,24.3,80.6,83.1666666666666,58,0.9,3.49166666666666,9.6,0.57055625,0.262455875,16.7,4.177012197471014,37.61714477323999,5.054053129855919,2.5295486544222006,2.3515541465292773,0.21157692894642852,5.031280469129382,5.031280469129382
2024-01-11,26.9,30.1,24.9,84.1,87.2916666666666,68,1.4,4.04583333333333,0.6,0.4707125,0.21652775,16.7,3.8812755094780704,37.61437417411929,3.9151959441783766,1.9595517454874884,1.7273198936639085,0.17294246228571428,5.031280469129382,5.031280469129382
2024-01-12,27.0,32.8,24.4,81.3,83.5,58,1.0,3.13541666666666,0.6,0.441974999999999,0.20330849999999956,16.7,3.5344960533618646,37.61659065341586,4.98725947615738,2.4961184959937124,2.1978741620191795,0.16260007692857104,5.031280469129382,5.031280469129382
2024-01-13,27.1,31.0,24.4,85.8,89.7083333333333,67,1.1,3.55625,9.0,0.48446249999999996,0.22285275,16.7,0.0,37.61302845454637,4.430600742451818,2.2175113435482428,1.9398210437443015,0.1784676799285714,5.031280469129382,5.031280469129382
2024-01-14,25.3,27.4,23.5,89.1,91.5625,77,1.3,4.10208333333333,72.4,0.28944583333333296,0.13314508333333316,16.7,0.0,37.61041617537541,3.269293272892461,1.6362780894613258,1.276175295948363,0.10408141371428557,5.031280469129382,5.031280469129382
2024-01-15,26.300000000000004,32.5,23.2,82.5,85.6666666666666,60,1.5,3.92083333333333,0.2,0.735358333333333,0.3382648333333332,16.7,0.0,37.61564073371732,5.165642789827546,2.5853991702312236,2.6583876058560665,0.2680192032857141,5.031280469129382,5.031280469129382
2024-01-16,27.950000000000003,32.9,24.9,76.1,80.5,54,2.1,5.09166666666666,0.4,0.8128624999999999,0.37391674999999996,16.7,0.0,37.62070697210949,4.970274778163678,2.48761767123943,2.803406257932249,0.30282031205357135,5.031280469129382,5.031280469129382
2024-01-17,29.600000000000005,33.5,26.4,70.2,73.5833333333333,54,1.8,5.05,0.6,0.7968166666666661,0.3665356666666664,16.7,0.0,37.62537741062726,4.851229529705599,2.4280356406759576,2.7388054425430504,0.3032661467142855,5.031280469129382,5.031280469129382
2024-01-18,29.2,34.5,26.0,76.8,78.1666666666666,52,1.5,4.27083333333333,0.8,0.819020833333333,0.3767495833333332,16.7,0.0,37.620152852285344,5.263221263603688,2.634237101036286,2.821487466888902,0.310116388392857,5.031280469129382,5.031280469129382
2024-01-19,29.1,33.6,25.6,73.1,76.9583333333333,53,1.7,4.26666666666666,9.4,0.72075,0.33154500000000003,16.7,0.0,37.62308177135581,5.095210646904405,2.5501479515000938,2.6590302444485183,0.2725547014285714,5.031280469129382,5.031280469129382
