date,tmed_c,tmax_c,tmin_c,rh_mean_pct,rh_max_pct,rh_min_pct,wind_mean_ms,wind_max_ms,rain_mm,rad_global_mj_m2_d,rad_net_mj_m2_d,ra_extraterrestre_mj_m2_d,et_camargo,et_garcia_lopez,et_hargreaves_samani,et_hargreaves_samani_corr,et_penman_monteith,et_priestley_taylor,et_thornthwaite,et_thornthwaite_camargo
2024-01-01,25.11,32.71,19.76,66.02062500000001,84.6,39.02,2.068,5.792,0.0,23.25,12.29502,16.7,4.166596129032259,25.18934366269037,5.93113358894813,6.186528717177219,5.777879763114257,8.338851642857142,4.028614885605275,0
2024-01-02,25.77,32.85,19.71,68.26166666666664,94.2,41.69,1.571,6.911,0.0,21.49,11.09841,16.7,4.166596129032259,27.11205208586835,6.066379141500026,6.327597954985635,5.623346842492847,7.776905579999998,4.028614885605275,0
2024-01-03,25.43,33.67,20.28,74.92563,92.2,44.81,1.456,6.032,0.254,23.15,12.6906,16.7,4.166596129032259,26.103335888218993,6.076028904653304,6.337663237779628,6.042922180283891,8.339178985714284,4.028614885605275,0
2024-01-04,25.52,32.71,20.91,70.84052,90.7,40.7,2.226,8.43,0.0,23.49,11.74811,16.7,4.166596129032259,26.369091328100986,5.715757024730091,5.961878019370535,5.600467852032165,8.471983937142856,4.028614885605275,0
2024-01-05,25.68,33.67,19.23,65.43917,93.1,34.37,2.147,7.39,0.0,26.75,13.0834,16.7,4.166596129032259,26.845274196529584,6.346253840000002,6.619524082346473,6.461634519618053,9.66865757142857,4.028614885605275,0
2024-01-06,26.31,34.79,19.13,62.83969,91.3,28.82,1.857,7.151,0.0,30.77,15.93308,16.7,4.166596129032259,28.770104421776292,6.704667480745158,6.993371045636873,7.281432409072595,11.216377105714283,4.028614885605275,0
2024-01-07,27.1,36.81,19.85,64.86958333333332,92.7,28.48,1.487,7.87,0.6,28.66,14.96038,16.7,4.166596129032259,31.324707676579862,7.10237456072698,7.408203427075205,7.801644076353658,10.557852685714286,4.028614885605275,0
2024-01-08,27.13,35.02,21.25,68.32898,97.8,38.13,1.207,6.112,0.2,21.85,10.69405,16.7,4.166596129032259,31.42256511065341,6.403946512052923,6.679701005876091,5.960798551731131,8.052368014285715,4.028614885605275,0
2024-01-09,27.85,35.8,20.96,63.21052,92.1,35.95,1.4,8.03,0.0,28.33,15.5022,16.7,4.166596129032259,33.90850236194668,6.754637386972611,7.045492660372854,7.317869612139229,10.540095557142855,4.028614885605275,0
2024-01-10,27.01,34.68,20.77,68.6875,95.4,40.22,1.627,6.432,1.0,25.42,13.74551,16.7,4.166596129032259,31.022452117078867,6.419228217555568,6.69564074294688,6.45422436659479,9.353114691428571,4.028614885605275,0
2024-01-11,25.43,33.57,22.26,83.32688,99.4,44.4,1.557,9.55,5.0,21.38,10.45241,16.7,4.166596129032259,26.097897972968717,5.584198468151672,5.824654539902908,5.405127340629847,7.7015830114285695,4.028614885605275,0
2024-01-12,24.18,29.88,21.97,91.58615,98.3,63.26,1.017,5.792,8.2,13.03,4.31176,16.7,4.166596129032259,22.63693793954678,4.534975896951034,4.730252353525171,3.352545943897524,4.614138925714285,4.028614885605275,0
2024-01-13,24.56,29.35,20.91,79.89020833333336,98.2,59.28,2.411,6.671,0.0,19.0,10.41955,16.7,4.166596129032259,23.656437371246277,4.726846311664788,4.930384724985356,3.845199447639375,6.763489714285713,4.028614885605275,0
2024-01-14,26.2,33.72,19.75,70.41833,92.4,44.77,1.325,5.233,0.0,27.69,16.64342,16.7,4.166596129032259,28.421962024569538,6.316771783621125,6.5887725260555765,6.593168187875948,10.078764428571427,4.028614885605275,0
2024-01-15,27.19,32.57,22.98,73.37177,96.6,49.87,1.663,6.432,0.0,27.08,15.9067,16.7,4.166596129032259,31.62033285064089,5.351426980533654,5.581859891781635,5.183082228943028,9.987715234285712,4.028614885605275,0
2024-01-16,28.5,35.94,21.92,66.97458333333331,99.5,38.0,1.369,5.952,0.0,24.52,13.11127,16.7,4.166596129032259,36.27267637996726,6.658851120691899,6.945581829134621,6.432840432796764,9.200464457142855,4.028614885605275,0
2024-01-17,28.63,37.19,22.41,67.61479,96.3,36.46,1.705,6.751,0.0,22.97,11.72832,16.7,4.166596129032259,36.76040375601873,6.8561483782804,7.151374723795764,6.814845165437895,8.633458259999998,4.028614885605275,0
2024-01-18,28.5,37.54,21.16,70.51729,100.0,34.92,1.574,11.15,49.28,27.7,14.19781,16.7,4.166596129032259,36.269929583425466,7.197509501973986,7.507434887167128,7.932909082815184,10.393673142857141,4.028614885605275,0
2024-01-19,25.14,34.69,21.11,84.18792,100.0,46.22,1.207,10.75,9.91,22.93,12.08781,16.7,4.166596129032259,25.26297338139624,6.077937533049879,6.339654051880972,6.490286820634165,8.227441234285713,4.028614885605275,0
2024-01-20,24.41,31.08,20.63,86.63896,100.0,60.76,1.844,6.272,23.88,19.06,10.07217,16.7,4.166596129032259,23.248770671343262,5.241043985567765,5.46672379545142,4.658425503753199,6.770879845714285,4.028614885605275,0
2024-01-21,24.55,31.08,20.72,80.82687499999999,100.0,49.36,1.972,8.19,0.762,25.95,13.27042,16.7,4.166596129032259,23.6287989411283,5.23573430509285,5.4611854796734205,5.024933553337724,9.236235214285713,4.028614885605275,0
