period_type,period,method,n,rain_mm,rmse,mae,mbe
month,2024-01,et_thornthwaite,31,136.68,2.0483970463072203,1.7660684414509575,-1.5320464564304241
month,2024-01,et_thornthwaite_camargo,31,136.68,5.724484140555321,5.560661342035699,-5.560661342035699
month,2024-01,et_camargo,31,136.68,1.9473525445500235,1.6636952608438398,-1.3940652130034403
month,2024-01,et_hargreaves_samani,31,136.68,0.5724575458809981,0.45812598029307605,0.2378815434893139
month,2024-01,et_hargreaves_samani_corr,31,136.68,0.689950724532092,0.5865596651867496,0.4875673044962869
month,2024-01,et_priestley_taylor,31,136.68,2.7030745563781675,2.523601768766143,2.523601768766143
month,2024-01,et_garcia_lopez,31,136.68,20.518558068922317,19.796144141127463,19.796144141127463
month,2024-02,et_thornthwaite,29,140.984,1.5462700360624806,1.3186726347059614,-0.8639450038399296
month,2024-02,et_thornthwaite_camargo,29,140.984,5.134984730499834,4.97227494490216,-4.97227494490216
month,2024-02,et_camargo,29,140.984,1.5926939973916894,1.3639620284022551,-0.9445232207642278
month,2024-02,et_hargreaves_samani,29,140.984,0.6662984429291741,0.5187316544820826,0.3611704823156127
month,2024-02,et_hargreaves_samani_corr,29,140.984,0.7944106673162028,0.6192753966454939,0.5908291063137786
month,2024-02,et_priestley_taylor,29,140.984,2.654791423361479,2.4474895470781353,2.4474895470781353
month,2024-02,et_garcia_lopez,29,140.984,21.337132433403056,20.82988828160898,20.82988828160898
month,2024-03,et_thornthwaite,31,163.83000000000004,1.7146553691619937,1.5230676793067204,-0.6347834487198943
month,2024-03,et_thornthwaite_camargo,31,163.83000000000004,4.889137886856219,4.622399405986632,-4.622399405986632
month,2024-03,et_camargo,31,163.83000000000004,1.8920523713454775,1.7254985635824116,-1.0211606963092117
month,2024-03,et_hargreaves_samani,31,163.83000000000004,0.705921187137676,0.5923104199903679,0.013193868054341801
month,2024-03,et_hargreaves_samani_corr,31,163.83000000000004,0.7032399239533327,0.5554398297574362,0.21280291763765427
month,2024-03,et_priestley_taylor,31,163.83000000000004,2.3781334955019098,2.1148849081792664,2.1148849081792664
month,2024-03,et_garcia_lopez,31,163.83000000000004,20.890269214632575,20.348162174793238,20.348162174793238
month,2024-04,et_thornthwaite,30,42.162,1.0697049003951995,0.9639319054597079,-0.5956904776292546
month,2024-04,et_thornthwaite_camargo,30,42.162,4.5796885503731835,4.492674681036664,-4.492674681036664
month,2024-04,et_camargo,30,42.162,1.6951794632671462,1.5662943318692364,-1.4436800143699977
month,2024-04,et_hargreaves_samani,30,42.162,0.5293051008920915,0.4651207051950357,-0.21115828841799733
month,2024-04,et_hargreaves_samani_corr,30,42.162,0.47729703705090415,0.37099577289924507,-0.026795820146275833
month,2024-04,et_priestley_taylor,30,42.162,1.6339095393783496,1.5424651653919064,1.5424651653919064
month,2024-04,et_garcia_lopez,30,42.162,21.850933522640812,20.045767347112818,20.045767347112818
month,2024-05,et_thornthwaite,31,40.386,1.7766304192973275,1.5983164833496735,-1.4658989067893524
month,2024-05,et_thornthwaite_camargo,31,40.386,4.493640487245442,4.380096892394627,-4.380096892394627
month,2024-05,et_camargo,31,40.386,2.265659290850525,2.0991904289709935,-2.031171085943014
month,2024-05,et_hargreaves_samani,31,40.386,0.8227773665754708,0.7468878482498547,-0.69945299835218
month,2024-05,et_hargreaves_samani_corr,31,40.386,0.6787993749892922,0.6090271775390462,-0.5409641521329375
month,2024-05,et_priestley_taylor,31,40.386,0.92782474146952,0.7899977773895174,0.6146779435316393
month,2024-05,et_garcia_lopez,31,40.386,15.256096326128372,14.29715286378395,14.29715286378395
month,2024-06,et_thornthwaite,30,0.762,2.413989189281355,2.3461534904541756,-2.3461534904541756
month,2024-06,et_thornthwaite_camargo,30,0.762,4.35395444946994,4.316713071639364,-4.316713071639364
month,2024-06,et_camargo,30,0.762,2.4496454697017036,2.382825071639363,-2.382825071639363
month,2024-06,et_hargreaves_samani,30,0.762,0.955183132999373,0.8940816228332604,-0.8921168148089001
month,2024-06,et_hargreaves_samani_corr,30,0.762,0.8161006331126094,0.7538280411339051,-0.7446534021189853
month,2024-06,et_priestley_taylor,30,0.762,0.5205297481765525,0.4289864449248434,0.3028704940749217
