method,eto_column,variable,column,perturbation_pct,baseline_mean_eto_mm_d,perturbed_mean_eto_mm_d,delta_mean_eto_mm_d,relative_delta_pct,n,status
radiation_temperature,et_radiation_temperature,umidade_relativa,rh_mean_pct,10,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,umidade_relativa,rh_mean_pct,20,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,umidade_relativa,rh_mean_pct,30,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,umidade_relativa,rh_mean_pct,40,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,umidade_relativa,rh_mean_pct,50,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,-50,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,-40,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,-30,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,-20,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,-10,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,0,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,10,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,20,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,30,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,40,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,velocidade_vento,wind_mean_ms,50,0.1007919916967925,0.1007919916967925,0.0,0.0,366,ok
radiation_temperature,et_radiation_temperature,radiacao_global,rad_global_mj_m2_d,-50,0.1007919916967925,0.05039599584839625,-0.05039599584839625,-50.0,366,ok
radiation_temperature,et_radiation_temperature,radiacao_global,rad_global_mj_m2_d,-40,0.1007919916967925,0.06047519501807549,-0.04031679667871701,-40.00000000000001,366,ok
