period,variant,method,rmse,mae,mbe,r,r2,willmott_d,c,classification
train,original,et_hargreaves_samani,2.5318762699748096,2.509121551511372,2.509121551511372,0.8900096071840389,0.7921171008798872,0.3186187867939032,0.28357378127589683,Very Poor
train,calibrated,et_hargreaves_samani_calibrated,0.3306029464906657,0.2725795616790896,0.026153136440270994,0.8900096071840384,0.7921171008798864,0.881507152487509,0.7845498345153281,Very Good
test,original,et_hargreaves_samani,2.607151809383123,2.5799910182991685,2.5799910182991685,0.8593663556742435,0.7385105332648303,0.3400156548856935,0.2921980142113097,Very Poor
test,calibrated,et_hargreaves_samani_calibrated,0.41861051274396444,0.32557028347814754,-0.0815460480201421,0.8593663556742429,0.7385105332648294,0.8297035096565327,0.7130192813836636,Good
