method,eto_bin,eto_min,eto_max,n,mean_ref_eto,mean_bias,median_bias
et_thornthwaite,1,-0.014208813888556,2.1969218082764668,92,1.4613358259796891,1.140417791184614,1.1912337774402497
et_thornthwaite,2,2.199106872282676,3.256326788243466,91,2.7295867163202776,0.23935787366326286,0.5985961663155992
et_thornthwaite,3,3.2744199078038863,4.07929202732029,91,3.6465986074643175,-0.11445472606860586,0.1321803437843161
et_thornthwaite,4,4.0840024282283816,5.892101006071563,92,4.804766355299091,-0.9486808612807257,-0.8924143342543374
et_thornthwaite_camargo,1,-0.014208813888556,2.1969218082764668,92,1.4613358259796891,-1.4613358259796891,-1.6523232831685664
et_thornthwaite_camargo,2,2.199106872282676,3.256326788243466,91,2.7295867163202776,-2.7295867163202776,-2.726673341010769
et_thornthwaite_camargo,3,3.2744199078038863,4.07929202732029,91,3.6465986074643175,-3.6465986074643175,-3.639857537251022
et_thornthwaite_camargo,4,4.0840024282283816,5.892101006071563,92,4.804766355299091,-4.804766355299091,-4.752152092623934
et_camargo,1,-0.014208813888556,2.1969218082764668,92,1.4613358259796891,-0.4475601826788907,-0.6503276699184237
et_camargo,2,2.199106872282676,3.256326788243466,91,2.7295867163202776,-1.5821729912698175,-1.5753760642661074
et_camargo,3,3.2744199078038863,4.07929202732029,91,3.6465986074643175,-2.2570058736675014,-2.2806078639776945
et_camargo,4,4.0840024282283816,5.892101006071563,92,4.804766355299091,-3.16081941652358,-3.1049382143631234
et_hargreaves_samani,1,-0.014208813888556,2.1969218082764668,92,1.4613358259796891,-0.08834906235174018,-0.1868431715607084
et_hargreaves_samani,2,2.199106872282676,3.256326788243466,91,2.7295867163202776,-0.9668231738166967,-0.9613524004370706
et_hargreaves_samani,3,3.2744199078038863,4.07929202732029,91,3.6465986074643175,-1.556714353793354,-1.556812744319251
et_hargreaves_samani,4,4.0840024282283816,5.892101006071563,92,4.804766355299091,-2.3718877038136386,-2.351392853454283
et_hargreaves_samani_corr,1,-0.014208813888556,2.1969218082764668,92,1.4613358259796891,2.04732802209552,1.8772808946643595
et_hargreaves_samani_corr,2,2.199106872282676,3.256326788243466,91,2.7295867163202776,1.775150603902929,1.5786883996817487
et_hargreaves_samani_corr,3,3.2744199078038863,4.07929202732029,91,3.6465986074643175,1.6940947784946137,1.642640324830543
et_hargreaves_samani_corr,4,4.0840024282283816,5.892101006071563,92,4.804766355299091,1.4124482583838809,1.3994380565542222
et_priestley_taylor,1,-0.014208813888556,2.1969218082764668,92,1.4613358259796891,-0.004686599904785343,0.003883236297747561
et_priestley_taylor,2,2.199106872282676,3.256326788243466,91,2.7295867163202776,0.051771110627813026,0.05880958974576922
et_priestley_taylor,3,3.2744199078038863,4.07929202732029,91,3.6465986074643175,0.09403326491637393,0.25800860559809546
et_priestley_taylor,4,4.0840024282283816,5.892101006071563,92,4.804766355299091,0.3154848461977621,0.5305383594050008
