method,eto_column,variable,column,perturbation_pct,baseline_mean_eto_mm_d,perturbed_mean_eto_mm_d,delta_mean_eto_mm_d,relative_delta_pct,n,status
turc,et_turc,temperatura_media,tmed_c,-50,0.5419116504456195,0.4039776515336643,-0.13793399891195524,-25.453226332840547,366,ok
turc,et_turc,temperatura_media,tmed_c,-40,0.5419116504456195,0.4414200834495033,-0.10049156699611622,-18.543902297262104,366,ok
turc,et_turc,temperatura_media,tmed_c,-30,0.5419116504456195,0.47272165691457496,-0.06918999353104455,-12.767762692340883,366,ok
turc,et_turc,temperatura_media,tmed_c,-20,0.5419116504456195,0.4992795081955329,-0.0426321422500866,-7.8669912733984875,366,ok
turc,et_turc,temperatura_media,tmed_c,-10,0.5419116504456195,0.5220966032287687,-0.01981504721685079,-3.6565088055509922,366,ok
turc,et_turc,temperatura_media,tmed_c,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_media,tmed_c,10,0.5419116504456195,0.5592807894265399,0.017369138980920407,3.205160650566856,366,ok
turc,et_turc,temperatura_media,tmed_c,20,0.5419116504456195,0.5746307306006011,0.032719080154981595,6.03771484301479,366,ok
turc,et_turc,temperatura_media,tmed_c,30,0.5419116504456195,0.5882943493695839,0.046382698923964405,8.559088715997051,366,ok
turc,et_turc,temperatura_media,tmed_c,40,0.5419116504456195,0.6005351427841262,0.05862349233850672,10.817905887481848,366,ok
turc,et_turc,temperatura_media,tmed_c,50,0.5419116504456195,0.6115644140631049,0.0696527636174854,12.853158547192926,366,ok
turc,et_turc,temperatura_maxima,tmax_c,-50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,-40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,-30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,-20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,-10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_maxima,tmax_c,50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,-50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,-40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,-30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,-20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,-10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,temperatura_minima,tmin_c,50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,-50,0.5419116504456195,0.6447256851055485,0.102814034659929,18.97247172585863,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,-40,0.5419116504456195,0.5911703222661623,0.049258671820542776,9.089797530655941,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,-30,0.5419116504456195,0.5612081726094944,0.019296522163874896,3.560824379399699,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,-20,0.5419116504456195,0.5486938886772684,0.006782238231648918,1.2515394762359906,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,-10,0.5419116504456195,0.5434404737651731,0.0015288233195536183,0.28211671003870303,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,10,0.5419116504456195,0.5417232094809719,-0.00018844096464765148,-0.034773373942541104,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,20,0.5419116504456195,0.5417232094809719,-0.00018844096464765148,-0.034773373942541104,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,30,0.5419116504456195,0.5417232094809719,-0.00018844096464765148,-0.034773373942541104,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,40,0.5419116504456195,0.5417232094809719,-0.00018844096464765148,-0.034773373942541104,366,ok
turc,et_turc,umidade_relativa,rh_mean_pct,50,0.5419116504456195,0.5417232094809719,-0.00018844096464765148,-0.034773373942541104,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,-50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,-40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,-30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,-20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,-10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,0,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,10,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,20,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,30,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,40,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,velocidade_vento,wind_mean_ms,50,0.5419116504456195,0.5419116504456195,0.0,0.0,366,ok
turc,et_turc,radiacao_global,rad_global_mj_m2_d,-50,0.5419116504456195,0.48465834435167515,-0.057253306093944356,-10.56506278225692,366,ok
