month,et_thornthwaite,et_thornthwaite_camargo,et_camargo,et_hargreaves_samani,et_hargreaves_samani_corr,et_priestley_taylor,et_penman_monteith,et_garcia_lopez,et_makkink,et_mccloud,et_turc,et_global_radiation,et_ivanov,et_jensen_heise,et_net_radiation,et_radiation_temperature,et_lungeon,et_stephens_stewart,et_hicks_hess
2024-01-01,155.96969454301086,155.96969454301086,59.475857142857144,61.05285193806173,74.86438725046865,3.4900769885052734,27.41152287141204,1.9889090251800552,-0.04686859387816192,244.98717131137357,17.032118049446648,4.142992874149655,3516.4252453500003,4.963248426870744,3.5943668139999962,3.3923535544217653,16.0485783075,3.853329415714282,4.361561215286836
2024-02-01,148.15895494252874,145.9071336047521,56.221061224489794,58.87097774426724,72.18892378904431,3.552964145808184,29.667455027530533,2.4097416327941037,0.2593169926552675,239.18853073606886,16.296859798715982,4.195324064625846,3531.5831915999997,5.120156117134349,3.639768169999996,3.4728894876700642,16.15667062,3.957626710331629,4.621326301444524
2024-03-01,152.53607526881734,155.96969454301086,58.6204081632653,58.289032090814146,71.47532887290447,3.093466421743478,22.275371781057164,1.494000233661402,-0.4642813711809467,234.3444519477496,16.520395004025232,3.679804872448975,2834.2851768,4.379317338435369,3.1925153909999957,3.0014719863945536,12.92428476,3.4053817100816284,3.7472217422734535
2024-04-01,148.07302188888906,150.93841407388146,56.84134693877551,57.11456353786011,70.03516898240419,2.6595773573631925,19.45510493329575,1.1495590676400562,-0.8009279020159618,226.74360427977078,15.627093197382042,3.168300340136051,2730.5783567999997,3.7495982695578194,2.748745639999997,2.575865838435371,12.446836759999998,2.919636222428568,2.9920256365765447
2024-05-01,149.67260072962964,155.96969454301086,58.20461224489796,55.51979162531412,68.07962361069679,2.10298395098367,17.621372246134317,0.8767420519345784,-1.5067146133539675,228.84215156820997,15.382584010358418,2.506643112244894,2580.3821988,2.962768567176866,2.174706809999996,2.0364201819727854,11.75925366,2.3076797294081595,2.3388071428967394
2024-06-01,153.75956333333335,150.93841407388146,58.40910204081633,60.950512502727335,74.73889632130386,2.274877791588245,25.99420594611736,1.2564512091415556,-1.2058049467411465,248.84306631734006,15.319447110406832,2.691974557823125,3737.471031,3.258878996598635,2.335496175999996,2.217807108843534,17.085032950000002,2.5237937742857106,2.6025847504142647
2024-07-01,165.44350000000003,155.96969454301086,62.27395918367347,65.72269087947396,80.59064933011528,2.844071077617815,39.03910627673384,2.344213816867412,-0.7267574925002264,288.4935685957086,16.521528623992573,3.3290471768707444,5527.0435572,4.184752886904757,2.8882059559999957,2.804520950680268,25.35599454,3.2123646905510164,3.476027850414135
2024-08-01,171.75796333333338,155.96969454301086,64.28477551020408,70.96698002901621,87.02131524139928,3.488595962786242,45.98179304329846,3.3795497602260407,-0.048427299345051106,324.2067500862742,17.384385492005933,4.041504183673465,6533.948934,5.264831636904757,3.5063175239999955,3.478518981292513,30.0737783,4.0087732286326485,4.425831343024837
2024-09-01,172.21596666666667,150.93841407388146,64.60514285714285,72.2200247521788,88.55782700815784,3.9050979427957517,53.267054055779006,4.459584036520628,0.5099201951439081,364.7380048340192,17.633341447095628,4.468233503401357,7147.7987508,6.082106226615642,3.8765382199999965,3.950355755952377,33.04854006,4.58636421823469,5.320855940607939
2024-10-01,169.08213333333333,155.96969454301086,63.56906122448979,71.56674983506538,87.75676653639783,4.015851484796157,35.966584496473075,3.1461065143731672,0.506482756600511,313.7441900203861,17.92812958054548,4.666097015306118,5703.264134999999,6.020130413832194,4.0482001229999955,3.992764359410427,26.23581875,4.5938561955102,4.6782075096290985
2024-11-01,157.6821766666667,150.93841407388146,59.608775510204076,64.81186249817137,79.47377097813049,3.4011364412122393,28.08862606824486,2.1668028596502427,-0.020474069807683903,269.4154861408871,16.663033795288634,3.991841921768704,4289.6422638,4.973697219387751,3.463231669999996,3.3451987857142824,19.66012091,3.8258230913877513,3.935537013605931
2024-12-01,147.85878666666667,155.96969454301086,57.76155102040816,59.69712777060849,73.20196762787663,2.7179433931995054,18.901449056791638,1.1818359409996473,-0.8595005696140453,224.00889199856198,16.030747953833345,3.25403414965986,2794.0270176000004,3.7913957419217645,2.823126351999996,2.621701970238092,12.731653320000001,2.963414295826527,2.9835630919241662
