Warning: truncated output (original token count: 42915)
Total output lines: 367

date,et_penman_monteith,et_camargo,et_hargreaves_samani,et_makkink,et_turc,et_global_radiation,et_jensen_heise,et_radiation_temperature,et_stephens_stewart,et_hicks_hess,et_garcia_lopez,et_mccloud,et_ivanov,et_lungeon,et_net_radiation,et_priestley_taylor,et_hargreaves_samani_corr,et_thornthwaite,et_thornthwaite_camargo,precomputed_et_penman_monteith,precomputed_et_camargo,precomputed_et_hargreaves_samani,precomputed_et_garcia_lopez,precomputed_et_priestley_taylor,precomputed_et_hargreaves_samani_corr,precomputed_et_thornthwaite,precomputed_et_thornthwaite_camargo
2024-01-01,4.613655446326407,1.7115795918367347,2.4208708526318903,4.222822958411432,4.929320467427075,5.029591836734694,5.24548469387755,3.8063571428571423,4.2174892653061224,5.703830070789227,3.786656259755076,5.406568383749877,153.58071919578745,0.6914504133793749,5.016368159999999,4.743720773062643,6.186528717177219,4.028614885605275,0,5.777879763114257,4.166596129032259,5.93113358894813,25.18934366269037,8.338851642857142,6.186528717177219,4.028614885605275,0
2024-01-02,4.060252249102658,1.7565673469387755,2.4760731189796026,3.9280308553698235,4.631337766223694,4.648857142857143,4.993135714285714,3.5761114285714277,3.983677611428571,4.571787748965004,2.83196118779435,5.859082703767654,147.25530478410008,0.6648840915783338,4.5281512799999994,4.318260854700753,6.327597954985635,4.028614885605275,0,5.623346842492847,4.166596129032259,6.066379141500026,27.11205208586835,7.776905579999998,6.327597954985635,4.028614885605275,0
2024-01-03,4.303762501889545,1.7333918367346939,2.480011797817675,4.22198254942979,4.933083849742765,5.007959183673469,5.298515306122449,3.8202224489795915,4.243978946938776,4.69326159147408,2.298029239103722,5.6214293441991146,114.78376648982342,0.5175061362001301,5.177764799999999,4.9165441571122095,6.337663237779628,4.028614885605275,0,6.042922180283891,4.166596129032259,6.076028904653304,26.103335888218993,8.339178985714284,6.337663237779628,4.028614885605275,0
2024-01-04,4.4065606134136965,1.739526530612245,2.3329620509102416,4.290807491569727,5.006080680785785,5.081510204081632,5.397906122448979,3.884958367346938,4.319045897142857,6.0877296501782485,3.465961236119932,5.683383058558142,133.96117983010558,0.60420495387392,4.79322888,4.556630377469967,5.961878019370535,4.028614885605275,0,5.600467852032165,4.166596129032259,5.715757024730091,26.369091328100986,8.471983937142856,5.961878019370535,4.028614885605275,0
2024-01-05,4.981104551308294,1.7504326530612244,2.5903076897959187,4.913140072581795,5.6570702097345125,5.786734693877551,6.190714285714286,4.441591836734694,4.944238530612245,6.803924714913361,4.590101464707545,5.79521371367934,159.78274626202557,0.7211678447379201,5.338027199999999,5.084831431302404,6.619524082346473,4.028614885605275,0,6.461634519618053,4.166596129032259,6.346253840000002,26.845274196529584,9.66865757142857,6.619524082346473,4.028614885605275,0
2024-01-06,5.892101006071563,1.7933755102040816,2.7365989717327177,5.7150471406522305,6.5029702892243995,6.656367346938775,7.318864285714285,5.188198775510204,5.804045882448978,7.278926549935826,5.274725530695261,6.257353063958261,176.09858355238384,0.7969459910699103,6.50069664,6.24104508056532,6.993371045636873,4.028614885605275,0,7.281432409072595,4.166596129032259,6.704667480745158,28.770104421776292,11.216377105714283,6.993371045636873,4.028614885605275,0
2024-01-07,5.470306758306569,1.8472244897959185,2.898928392133461,5.3667838136454185,6.1505320273349176,6.199918367346939,7.048020408163266,4.9248408163265305,5.542446269387756,6.101756022402375,4.175170209954551,6.889288820338854,171.64503774750006,0.7793366763750004,6.10383504,5.915956851142317,7.408203427075205,4.028614885605275,0,7.801644076353658,4.166596129032259,7.10237456072698,31.324707676579862,10.557852685714286,7.408203427075205,4.028614885605275,0
2024-01-08,3.8835872325037584,1.8492693877551019,2.6138557192052745,4.064530338101919,4.79039003360788,4.726734693877551,5.380005102040817,3.7573081632653063,4.229435828571429,4.193458469720188,2.586730300861864,6.914505335811756,154.92089791914836,0.7034883828463797,4.3631724,4.230368503158295,6.679701005876091,4.028614885605275,0,5.960798551731131,4.166596129032259,6.403946512052923,31.42256511065341,8.052368014285715,6.679701005876091,4.028614885605275,0
2024-01-09,5.5506334948264335,1.8983469387755103,2.7569948518255556,5.35096406168478,6.14347730398833,6.128530612244898,7.183678571428571,4.954859183673469,5.6066341959183665,5.943328066953799,4.254166169957679,7.548184237775816,184.96354383233995,0.842340211713,6.3248976,6.183741595660209,7.045492660372854,4.028614885605275,0,7.317869612139229,4.166596129032259,6.754637386972611,33.90850236194668,10.540095557142855,7.045492660372854,4.028614885605275,0
2024-01-10,4.9245887667511115,1.8410897959183674,2.620093150022681,4.741329360819496,5.495993177213996,5.499020408163265,6.227900000000001,4.358751836734695,4.90209240489796,5.668868871357398,3.457866538806481,6.814189706428276,152.46282263625002,0.6919874938125,5.6081680799999996,5.429765428762165,6.69564074294688,4.028614885605275,0,6.45422436659479,4.166596129032259,6.419228217555568,31.022452117078867,9.353114691428573,6.69564074294688,4.028614885605275,0
