Warning: truncated output (original token count: 46693)
Total output lines: 367

date,et_penman_monteith,et_camargo,et_hargreaves_samani,et_makkink,et_turc,et_global_radiation,et_jensen_heise,et_radiation_temperature,et_stephens_stewart,et_hicks_hess,et_garcia_lopez,et_mccloud,et_ivanov,et_lungeon,et_net_radiation,et_priestley_taylor,et_hargreaves_samani_corr,et_thornthwaite,et_thornthwaite_camargo,precomputed_et_penman_monteith,precomputed_et_camargo,precomputed_et_hargreaves_samani,precomputed_et_garcia_lopez,precomputed_et_priestley_taylor,precomputed_et_hargreaves_samani_corr,precomputed_et_thornthwaite,precomputed_et_thornthwaite_camargo
2024-01-01,0.6296411804861624,1.9290204081632656,2.192164103127759,-0.0222569281618778,0.5284105872970362,0.1103445578231291,0.1316847789115645,0.0901494217687074,0.1023306281632652,0.0922715756143251,0.038752970002044,7.973396329917773,110.45380319999995,0.5039042399999999,0.0957324399999999,0.0928719417006157,2.68808118086978,5.031280469129382,5.031280469129382,2.2465757952622036,4.726100000000001,5.3708020526630085,37.6188862926873,0.1908965014285713,2.68808118086978,5.031280469129382,5.031280469129382
2024-01-02,0.6879051380894947,1.9426530612244899,2.0036873546447667,-0.01362703132447185,0.538600362172719,0.1197881122448978,0.14417384778911546,0.09835229421768696,0.1118081270816325,0.11229785745400711,0.045476807068430755,8.172413374318193,107.91191789999998,0.4926786549999999,0.10392545399999986,0.1010717584333378,2.4569667310410526,5.031280469129382,5.031280469129382,2.174470191290542,4.357818976343494,4.909034018879678,37.61837175285059,0.2078176232142855,2.4569667310410526,5.031280469129382,5.031280469129382
2024-01-03,0.8149816447240151,1.9562857142857144,2.0290175081175184,-0.009419689540291,0.5440904519172652,0.1242298667800452,0.15074261408730139,0.10248832114512457,0.11667591609183657,0.12553464922809995,0.05393675088922143,8.378053741632803,114.08734259999999,0.5213172366666666,0.10777901966666652,0.10506942285647097,2.488027137860733,5.031280469129382,5.031280469129382,2.3913775879996937,4.203707401987041,4.971092894887921,37.61917654592852,0.21610899046428547,2.488027137860733,5.031280469129382,5.031280469129382
2024-01-04,0.8909592718695425,1.9682142857142857,2.048268421669958,-0.0034165890013359754,0.5513479672788583,0.13068725127551006,0.15977356770833315,0.1082937765731291,0.12344644764030595,0.13451618526021164,0.06239530888963937,8.562639567695228,122.85344294999999,0.5618131274999999,0.11338130024999984,0.11077335248332072,2.511633043258522,5.031280469129382,5.031280469129382,2.5553222058452754,4.139631878085654,5.018257633091396,37.62037054221625,0.22791457328571404,2.511633043258522,5.031280469129382,5.031280469129382
2024-01-05,0.8297936533049306,1.9303836734693878,1.9464070302006327,-0.01478726390349758,0.5362703813441341,0.11840497448979578,0.1429157648809522,0.09737931615646246,0.11075720227959167,0.1214785381370623,0.054189800523715456,8.069981758103317,113.13531684,0.5166071379999999,0.10272547499999987,0.09996934728120126,2.386728302288067,5.031280469129382,5.031280469129382,2.380139847419115,4.002992726370406,4.76869722399155,37.619155436601886,0.20561274188571405,2.386728302288067,5.031280469129382,5.031280469129382
2024-01-06,0.8551469579037368,1.915387755102041,1.911120378785861,-0.014676078726616401,0.5352186448304094,0.11890605583900211,0.1420042938633785,0.09718490632086156,0.1103307069336733,0.12682316338248004,0.05517855808086352,7.859300808102602,110.58455069999998,0.5045074483333333,0.10316020183333319,0.10007499142631655,2.3434590126082373,5.031280469129382,5.031280469129382,2.368026426807031,3.965429974902707,4.6822449280253595,37.61891267934559,0.20575688524999977,2.3434590126082373,5.031280469129382,5.031280469129382
2024-01-07,0.880284086926903,1.9192827988338192,1.9692810145050643,-0.00930624330338287,0.5412348621556997,0.12491434280855183,0.14937688562925153,0.10217449331875594,0.11602208610349839,0.13297579041446692,0.05880722594909033,7.903684943198523,112.74533202857141,0.51442767,0.10837285557142841,0.10517721537927747,2.414776898947653,5.031280469129382,5.031280469129382,2.479151740088233,3.996208120882689,4.824738485537408,37.61922554972249,0.21624811747959158,2.414776898947653,5.031280469129382,5.031280469129382
2024-01-08,0.9724945876855956,1.9290204081632651,1.9526078445491706,-0.0027517200528913285,0.5489183854169718,0.1320518306608356,0.15897497236394537,0.10843778049076758,0.12327897493731761,0.14605734938926807,0.06841676426833468,8.051206297586077,119.48425662857143,0.5455635685714285,0.11456517842857127,0.1114050869792527,2.394331881022246,5.031280469129382,5.031280469129382,2.57320935113369,3.965350508735557,4.783889219145467,37.6201415437175,0.22911321523469358,2.394331881022246,5.031280469129382,5.031280469129382
2024-01-09,0.9735488815630523,1.9202565597667636,1.926179821670018,-0.008661022758840784,0.541978292284364,0.12553628158406205,0.15056925929300274,0.10286266727405234,0.11686462677988321,0.13914913721332772,0.06609433229698332,7.927053509189228,120.20260397142856,0.5485938157142857,0.1089124355714284,0.1057902806704522,2.3619252419172234,5.031280469129382,5.031280469129382,2.527463315375624,4.042698739104352,4.7191405630915435,37.620333789370775,0.2175396077755099,2.3619252419172234,5.031280469129382,5.031280469129382
2024-01-10,0.8962278325271009,1.9056501457725947,1.923779966448532,-0.010170530420124129,0.539251318284326,0.12415243561710385,0.14761799016034968,0.10121217419825061,0.11481388704664709,0.13133285963092362,0.061220135929274715,7.717410376043493,115.94218500000001,0.5287313928571428,0.10771184214285702,0.10435600093196071,2.35898248519181,5.031280469129382,5.031280469129382,2.4598007103915207,4.082917016846763,4.7132609177989035,37.61981359525015,0.21452320834438754,2.35898248519181,5.031280469129382,5.031280469129382
