Warning: truncated output (original token count: 43779)
Total output lines: 367

date,et_penman_monteith,et_camargo,et_hargreaves_samani,et_makkink,et_turc,et_global_radiation,et_jensen_heise,et_radiation_temperature,et_stephens_stewart,et_hicks_hess,et_garcia_lopez,et_mccloud,et_ivanov,et_lungeon,et_net_radiation,et_priestley_taylor,et_hargreaves_samani_corr,et_thornthwaite,et_thornthwaite_camargo,precomputed_et_penman_monteith,precomputed_et_camargo,precomputed_et_hargreaves_samani,precomputed_et_garcia_lopez,precomputed_et_priestley_taylor,precomputed_et_hargreaves_samani_corr,precomputed_et_thornthwaite,precomputed_et_thornthwaite_camargo
2024-01-01,4.613655446326407,1.7115795918367347,2.4208708526318903,4.222822958411432,4.929320467427075,5.029591836734694,5.24548469387755,3.8063571428571423,4.2174892653061224,5.703830070789227,3.786656259755076,5.406568383749877,153.58071919578745,0.6914504133793749,5.016368159999999,4.743720773062643,6.186528717177219,4.028614885605275,0.0,5.777879763114257,4.166596129032259,5.93113358894813,25.18934366269037,8.338851642857142,6.186528717177219,4.028614885605275,0.0
2024-01-02,4.336953847714533,1.7340734693877553,2.4484719858057464,4.075426906890628,4.780329116825385,4.839224489795918,5.119310204081632,3.691234285714285,4.100583438367346,5.137808909877116,3.3093087237747127,5.6328255437587655,150.41801198994375,0.6781672524788543,4.772259719999999,4.530990813881698,6.257063336081427,4.028614885605275,0.0,5.700613302803552,4.166596129032259,5.998756365224079,26.15069787427936,8.05787861142857,6.257063336081427,4.028614885605275,0.0
2024-01-03,4.32589006577287,1.7338462585034016,2.458985256476389,4.124278787737015,4.831247361131179,4.895469387755102,5.179045238095238,3.7342303401360533,4.14838194122449,4.989626470409437,2.972215562217716,5.629026810572216,138.5399301565703,0.624613547052613,4.907428079999999,4.6595085949585355,6.283929969980828,4.028614885605275,0.0,5.814716261963665,4.166596129032259,6.024513878367153,26.13491054559257,8.151645402857142,6.283929969980828,4.028614885605275,0.0
2024-01-04,4.346057702683076,1.7352663265306123,2.4274794550848524,4.165910963695193,4.87495569104483,4.941979591836734,5.233760459183673,3.771912346938775,4.191047930204082,5.26415226535164,3.09565198069327,5.6426158725686975,137.39524257495412,0.6195113987579397,4.8788782799999995,4.633789040586393,6.203416982328254,4.028614885605275,0.0,5.76115415948079,4.166596129032259,5.947324664957888,26.193455741219672,8.23173003642857,6.203416982328254,4.028614885605275,0.0
2024-01-05,4.47306707240812,1.738299591836735,2.4600451020270655,4.315356785472513,5.031378594782766,5.110930612244898,5.425151224489795,3.905848244897959,4.341686050285714,5.572106755263984,3.3945418774961253,5.673135440790825,141.8727433123684,0.6398426879539357,4.970708063999999,4.723997518729595,6.2866384023318975,4.028614885605275,0.0,5.901250231508242,4.166596129032259,6.0271104999663105,26.32381943228166,8.51911554342857,6.2866384023318975,4.028614885605275,0.0
2024-01-06,4.709572728018694,1.7474789115646259,2.5061374136446743,4.5486385113358,5.276643877189705,5.368503401360544,5.74077006802721,4.119573333333332,4.585412688979591,5.856576721042624,3.707905819695981,5.770505044652065,147.57705001903767,0.6660265718065982,5.22570616,4.97683877903555,6.4044271762160605,4.028614885605275,0.0,6.131280594435634,4.166596129032259,6.140036663429452,26.731533597197426,8.968659137142856,6.4044271762160605,4.028614885605275,0.0
2024-01-07,4.818249018059818,1.761728279883382,2.562250410571644,4.665516411665744,5.401485041496164,5.487276967930029,5.9275201166180755,4.2346115451895034,4.722131771895044,5.891602335522589,3.7746578754472053,5.930331298321606,151.01533398024657,0.6822137296020843,5.351153142857142,5.110998503622231,6.547823783481653,4.028614885605275,0.0,6.3699039489953515,4.166596129032259,6.277513505900528,27.38770132282349,9.195686786938776,6.547823783481653,4.028614885605275,0.0
2024-01-08,4.713953558942299,1.781398250728863,2.5898196772249844,4.642903180192958,5.381637836664851,5.44401166180758,5.946737317784256,4.227604548104956,4.723838423790087,5.6758349639412975,3.6032398813196034,6.145750862901875,151.20678808358386,0.6839334395259421,5.2578394628571425,5.037662465064466,6.618276967581492,4.028614885605275,0.0,6.396035204512048,4.166596129032259,6.345058209201213,28.27816152967535,9.154760554285714,6.618276967581492,4.028614885605275,0.0
2024-01-09,4.926865165474266,1.801652478134111,2.629951353345835,4.846179352523666,5.597657770631227,5.655393586005831,6.259672011661808,4.424568513119533,4.955689364431486,5.8717692950825535,3.8064120216286503,6.387051082045898,156.59367937618956,0.7092843138308943,5.514517508571428,5.30415971377296,6.7208333540653795,4.028614885605275,0.0,6.638109885890103,4.166596129032259,6.443380815697296,29.249082997686543,9.549501979591836,6.7208333540653795,4.028614885605275,0.0
2024-01-10,5.015554631883061,1.8170379008746356,2.6499629750894074,4.920371754150767,5.678073388841403,5.725545189504373,6.392441253644315,4.501501282798833,5.04970557271137,6.011141763637313,3.9721030644433304,6.557445419507206,161.97640168282192,0.7342102220612328,5.57600369142857,5.377477038294382,6.7719729976607015,4.028614885605275,0.0,6.696867341077374,4.166596129032259,6.492409288969047,29.951813887523667,9.69434993755102,6.7719729976607015,4.028614885605275,0.0
2024-01-11,4.890055558903134,1.8161615160349853,2.6422919222276917,4.863114077365637,5.618228995584453,5.660338192419824,6.320369241982507,4.4505267055393585,4.992626630204081,5.783061282597058,3.685861074156171,6.548594888884488,153.74267436934946,0.6970543723705129,5.500482891428573,5.305020280029219,6.75236964345104,4.028614885605275,0.0,6.668961553734186,4.166596129032259,6.473615209457845,29.913071979647633,9.584292662448979,6.75236964345104,4.028614885605275,0.0
