month,et_thornthwaite,et_thornthwaite_camargo,et_camargo,et_hargreaves_samani,et_hargreaves_samani_corr,et_priestley_taylor,et_penman_monteith,et_garcia_lopez,et_makkink,et_mccloud,et_turc,et_global_radiation,et_ivanov,et_jensen_heise,et_net_radiation,et_radiation_temperature,et_lungeon,et_stephens_stewart,et_hicks_hess
2024-01-01,124.88706145376351,0,52.720195918367345,73.36931814337771,187.49508804249157,137.3765594168402,124.60108821547705,79.84943905289471,126.64499264579463,170.80957103415648,148.26864833168997,150.72962040816327,3564.855765377857,158.67996040816325,144.76336862399998,114.66317599999999,16.081188541649205,127.26607046987755,152.14463782354127
2024-02-01,119.14156829080466,0,47.67542857142857,63.13057852625117,161.33001748526218,122.82171629069552,107.02255749977192,51.774462992816524,108.45880820909905,162.36498006942713,128.39163698285515,129.06516734693878,2908.7999970575606,137.08758734693876,129.10809324,98.668488,13.135553151143116,109.69125677779591,111.42239260487612
2024-03-01,123.61609467526884,0,45.56669387755102,58.65444550827354,149.89127203235284,115.50241750004054,101.34575606891205,48.23877787446814,104.94647893469602,167.79065164642023,125.71187379369711,125.40124489795919,2788.2383437615235,132.75944357142856,121.3382863656,95.69287946938775,12.578550790528185,106.31962642334693,110.94850675095363
2024-04-01,116.90952610222229,0,37.33462857142857,52.42673133818775,133.97636582671166,105.99145696208316,95.35286742577067,42.84901145705357,90.58396174672488,161.3292905479786,109.98809248854207,109.88630612244897,3281.6595050477763,112.2374668367347,112.93541632799999,82.21486428571428,14.763211233857367,90.74684009387755,86.29429902879222
2024-05-01,90.34013755376353,0,29.721102040816326,46.57141253686361,119.01311494811239,81.29034367800128,80.92505900113072,46.63952190067093,76.76292849520756,124.64920342519179,94.99558983067762,96.75463673469388,3700.0702094505104,89.25971204081632,88.5328819439482,68.56395012244897,16.499031495697558,74.25513682971429,76.66369239720666
2024-06-01,59.116787435555636,0,23.680261224489794,41.93383171629138,107.16179008561134,57.5871007172004,62.50187034690618,41.636098329399026,68.36718365396814,89.86806650009909,84.88316208217381,89.66518367346939,3613.472727358731,72.47476530612245,65.440477008,59.442232653061225,15.88978296263308,62.765827640816326,63.93750455519257
2024-07-01,36.89028106666657,0,23.58530612244898,40.71877859688814,104.05672522520717,54.57430726169527,56.09268846437221,33.68732080259544,63.43463176682207,78.02153216430017,79.44557296709175,85.43513469387754,2976.2127135624223,64.05512357142857,63.19360330079999,54.637755551020405,12.999674908830958,56.85244817289796,56.601896409075984
2024-08-01,57.68778610430102,0,28.993612244897957,53.64175447304774,137.08135406169907,79.7173945673885,90.50272548624392,79.53921849353705,86.44263498711062,98.59091121877275,104.80341347387456,112.67042857142857,4696.304436550697,91.11954102040816,90.67033842096,74.71324497959183,20.73914582593026,78.89909816130613,93.38886733011016
2024-09-01,119.3729496755555,0,41.01685714285714,68.2017236310587,174.28931466782652,95.1524699480072,112.70740708652697,119.28304050188535,101.76787917660367,164.78952628567347,129.47242279682249,122.28095102040815,6442.2354594267035,127.27524775510204,101.020005216,92.43947869387755,29.06748484787555,102.38657928685714,126.79635468752167
2024-10-01,114.18635360537638,0,46.507628571428576,69.4218809974293,177.4074234171307,101.78776806097554,107.64503959435665,96.13584769083168,106.92556484139092,152.15873736310317,128.46730129929554,129.80543673469387,4237.812061304638,129.867416122449,108.995117568,96.03183175510203,19.039284124342032,105.59339411951021,146.81966853700925
2024-11-01,105.54906699222215,0,46.819322448979584,63.6964317457242,162.7760538106495,117.83514618227245,105.09194996261905,65.98992506175354,110.36774908379573,138.5811882161631,130.22305619266064,134.10297959183674,2925.872426343775,132.6794886734694,126.38982791999999,98.61620363265305,13.126328207929152,108.21110186791836,125.67670064941052
2024-12-01,118.02263616881729,0,51.75702857142858,68.96368042892317,176.23649314127215,128.9392213903207,112.92525598995849,59.9137312941459,115.90337627004928,155.23056755320803,136.86686284043068,139.48150612244896,2797.7948225769087,142.30086234693877,137.136830256,104.2914224897959,12.58142655236338,115.08985600310203,127.70551467106884
